# accession	TC1	TC2	genesymbol	length	familytype	product_name	product_name_orig
TIGR00700	506.65	506.65	gabT	420	equivalog	4-aminobutyrate--2-oxoglutarate transaminase	4-aminobutyrate transaminase
TIGR00701	138.05	138.05	hemJ	142	equivalog	protoporphyrinogen oxidase HemJ	TIGR00701 family protein
TIGR00703	155.4	155.4	NULL	223	hypoth_equivalog	TIGR00703 family protein	TIGR00703 family protein
TIGR00705	311.45	311.45	sppA	590	equivalog	signal peptide peptidase SppA	signal peptide peptidase SppA, 67K type
TIGR00706	155.45	155.45	sppA	208	equivalog_domain	signal peptide peptidase SppA	signal peptide peptidase SppA, 36K type
TIGR00707	410.05	410.05	NULL	381	subfamily	acetylornithine/succinylornithine family transaminase	transaminase, acetylornithine/succinylornithine family
TIGR00708	167.75	167.75	cobO	177	equivalog	cob(I)yrinic acid a,c-diamide adenosyltransferase	cob(I)yrinic acid a,c-diamide adenosyltransferase
TIGR00710	200.9	200.9	NULL	385	subfamily	Bcr/CflA family efflux MFS transporter	drug resistance transporter, Bcr/CflA subfamily
TIGR00711	230.2	230.2	NULL	485	subfamily	DHA2 family efflux MFS transporter permease subunit	drug resistance MFS transporter, drug:H+ antiporter-2 (14 Spanner) (DHA2) family
TIGR00712	632.55	632.55	glpT	440	equivalog	glycerol-3-phosphate transporter	glycerol-3-phosphate transporter
TIGR00713	527.3	527.3	hemL	423	equivalog	glutamate-1-semialdehyde-2,1-aminomutase	glutamate-1-semialdehyde-2,1-aminomutase
TIGR00714	46.75	46.75	hscB	156	equivalog	Fe-S protein assembly co-chaperone HscB	Fe-S protein assembly co-chaperone HscB
TIGR00715	129.85	129.85	cobK	256	equivalog	precorrin-6A reductase	precorrin-6x reductase
TIGR00716	161.2	161.2	rnhC	284	equivalog	ribonuclease HIII	ribonuclease HIII
TIGR00717	577	577	rpsA	516	equivalog	30S ribosomal protein S1	ribosomal protein bS1
TIGR00718	243.2	243.2	sdaAA	300	equivalog	L-serine ammonia-lyase, iron-sulfur-dependent, subunit alpha	L-serine dehydratase, iron-sulfur-dependent, alpha subunit
TIGR00719	161.2	161.2	sdaAB	208	equivalog	L-serine ammonia-lyase, iron-sulfur-dependent, subunit beta	L-serine dehydratase, iron-sulfur-dependent, beta subunit
TIGR00720	345.1	345.1	NULL	450	equivalog	L-serine ammonia-lyase	L-serine ammonia-lyase
TIGR00721	60.25	60.25	NULL	137	subfamily	Tfx family DNA-binding protein	DNA-binding protein, Tfx family
TIGR00724	230.2	230.2	NULL	315	domain	5-oxoprolinase/urea amidolyase family protein	biotin-dependent carboxylase uncharacterized domain
TIGR00725	106.9	106.9	NULL	159	hypoth_equivalog	TIGR00725 family protein	TIGR00725 family protein
TIGR00726	141.15	141.15	pgeF	223	equivalog	peptidoglycan editing factor PgeF	YfiH family protein
TIGR00727	438.7	438.7	NULL	681	equivalog	small oligopeptide transporter, OPT family	small oligopeptide transporter, OPT family
TIGR00728	128.35	128.35	NULL	659	superfamily	OPT family oligopeptide transporter	oligopeptide transporter, OPT superfamily
TIGR00729	123.3	123.3	rnhB	207	equivalog	ribonuclease HII	ribonuclease HII
TIGR00730	96.35	96.35	NULL	178	hypoth_equivalog	TIGR00730 family Rossman fold protein	TIGR00730 family protein
TIGR00731	73.1	73.1	NULL	176	equivalog	50S ribosomal protein L25	ribosomal protein bL25, Ctc-form
TIGR00732	191.15	191.15	dprA	220	equivalog	DNA-protecting protein DprA	DNA protecting protein DprA
TIGR00733	182.5	182.5	NULL	589	equivalog	oligopeptide transporter, OPT family	oligopeptide transporter, OPT family
TIGR00734	179.85	179.85	NULL	221	hypoth_equivalog	HisA/HisF family protein	hisA/hisF family protein
TIGR00735	294.55	294.55	hisF	254	equivalog_domain	imidazole glycerol phosphate synthase subunit HisF	imidazoleglycerol phosphate synthase, cyclase subunit
TIGR00737	293.3	293.3	dusB	319	equivalog	tRNA dihydrouridine synthase DusB	putative TIM-barrel protein, nifR3 family
TIGR00738	73.3	73.3	NULL	132	superfamily	Rrf2 family transcriptional regulator	Rrf2 family protein
TIGR00739	44.2	44.2	yajC	84	equivalog	preprotein translocase subunit YajC	preprotein translocase, YajC subunit
TIGR00740	193.3	193.3	cmoA	239	equivalog	carboxy-S-adenosyl-L-methionine synthase CmoA	tRNA (cmo5U34)-methyltransferase
TIGR00741	40.9	40.9	raiA	102	equivalog_domain	ribosome-associated translation inhibitor RaiA	ribosomal subunit interface protein
TIGR00742	397.2	397.2	dusA	318	subfamily	tRNA dihydrouridine(20/20a) synthase DusA	tRNA dihydrouridine synthase A
TIGR00743	71.45	71.45	NULL	95	superfamily	DUF406 family protein	conserved hypothetical protein
TIGR00745	141.35	141.35	NULL	305	subfamily	2-dehydropantoate 2-reductase	2-dehydropantoate 2-reductase
TIGR00746	358.25	358.25	arcC	309	equivalog	carbamate kinase	carbamate kinase
TIGR00747	292.1	292.1	fabH	322	subfamily	beta-ketoacyl-ACP synthase III	3-oxoacyl-[acyl-carrier-protein] synthase III
TIGR00748	353.35	353.35	NULL	345	equivalog	hydroxymethylglutaryl-CoA synthase	putative hydroxymethylglutaryl-CoA synthase
TIGR00749	225.45	225.45	glk	315	equivalog	glucokinase	glucokinase
TIGR00750	240.75	240.75	meaB	300	equivalog	methylmalonyl Co-A mutase-associated GTPase MeaB	LAO/AO transport system ATPase
TIGR00751	102.15	102.15	menA	284	equivalog	1,4-dihydroxy-2-naphthoate octaprenyltransferase	1,4-dihydroxy-2-naphthoate octaprenyltransferase
TIGR00752	88.45	88.45	NULL	182	superfamily	Slp family lipoprotein	outer membrane lipoprotein, Slp family
TIGR00753	217.5	217.5	uppP	255	equivalog	undecaprenyl-diphosphatase UppP	undecaprenyl-diphosphatase UppP
TIGR00754	125.55	125.55	bfr	157	equivalog	bacterioferritin	bacterioferritin
TIGR00755	171	171	rsmA	256	equivalog	ribosomal RNA small subunit methyltransferase A	ribosomal RNA small subunit methyltransferase A
TIGR00757	325.95	325.95	NULL	415	subfamily_domain	Rne/Rng family ribonuclease	ribonuclease, Rne/Rng family
TIGR00759	859.9	859.9	aceE	885	equivalog	pyruvate dehydrogenase (acetyl-transferring), homodimeric type	pyruvate dehydrogenase (acetyl-transferring), homodimeric type
TIGR00760	389.1	389.1	araD	228	equivalog	L-ribulose-5-phosphate 4-epimerase	L-ribulose-5-phosphate 4-epimerase
TIGR00761	151.3	151.3	argB	231	equivalog_domain	acetylglutamate kinase	acetylglutamate kinase
TIGR00762	99.7	99.7	NULL	276	domain	DegV family EDD domain-containing protein	EDD domain protein, DegV family
TIGR00763	608.05	608.05	lon	795	equivalog	endopeptidase La	endopeptidase La
TIGR00764	516.6	516.6	lonB	608	equivalog	ATP-dependent protease LonB	putative ATP-dependent protease
TIGR00765	73.15	73.15	NULL	259	subfamily_domain	YihY family inner membrane protein	YihY family inner membrane protein
TIGR00766	213.65	213.65	yhjD	263	equivalog	inner membrane protein YhjD	inner membrane protein YhjD
TIGR00767	509.45	509.45	rho	415	equivalog	transcription termination factor Rho	transcription termination factor Rho
TIGR00768	143.4	143.4	NULL	276	subfamily	RimK family alpha-L-glutamate ligase	alpha-L-glutamate ligase, RimK family
TIGR00769	387.2	387.2	NULL	472	superfamily	NTP/NDP exchange transporter	ADP/ATP carrier protein family
TIGR00773	254	254	nhaA	374	equivalog	Na+/H+ antiporter NhaA	Na+/H+ antiporter NhaA
TIGR00774	826.1	826.1	nhaB	515	equivalog	Na(+)/H(+) antiporter NhaB	Na+/H+ antiporter NhaB
TIGR00780	583.15	583.15	ccoN	474	equivalog	cytochrome-c oxidase, cbb3-type subunit I	cytochrome c oxidase, cbb3-type, subunit I
TIGR00781	200.65	200.65	ccoO	232	equivalog	cytochrome-c oxidase, cbb3-type subunit II	cytochrome c oxidase, cbb3-type, subunit II
TIGR00782	179.95	179.95	ccoP	285	equivalog	cytochrome-c oxidase, cbb3-type subunit III	cytochrome c oxidase, cbb3-type, subunit III
TIGR00785	198.6	198.6	NULL	444	subfamily	DASS family sodium-coupled anion symporter	transporter, divalent anion:Na+ symporter (DASS) family
TIGR00786	268.45	268.45	NULL	405	subfamily	TRAP transporter large permease subunit	TRAP transporter, DctM subunit
TIGR00787	175.05	175.05	NULL	257	subfamily	DctP family TRAP transporter solute-binding subunit	TRAP transporter solute receptor, DctP family
TIGR00788	216.4	216.4	fbt	468	subfamily	folate/biopterin family MFS transporter	folate/biopterin transporter
TIGR00789	117.35	117.35	NULL	84	hypoth_equivalog_domain	FlhB-like flagellar biosynthesis protein	FlhB domain protein
TIGR00793	453.8	453.8	kdgT	314	equivalog	2-keto-3-deoxygluconate transporter	2-keto-3-deoxygluconate transporter
TIGR00794	539.6	539.6	kup	688	equivalog	potassium uptake protein	potassium uptake protein
TIGR00796	243.4	243.4	brnQ	405	equivalog	branched-chain amino acid transport system II carrier protein	branched-chain amino acid transport system II carrier protein
TIGR00797	147.4	147.4	NULL	396	subfamily	MATE family efflux transporter	MATE efflux family protein
TIGR00802	333.05	333.05	NULL	281	subfamily	HoxN/HupN/NixA family nickel/cobalt transporter	transition metal uptake transporter, Ni2+-Co2+ transporter (NiCoT) family
TIGR00804	442	442	NULL	401	subfamily	NupC/NupG family nucleoside CNT transporter	nucleoside transporter, NupC family
TIGR00806	227.4	227.4	NULL	511	equivalog	reduced folate carrier	reduced folate carrier
TIGR00807	113.45	113.45	madL	125	equivalog	malonate transporter subunit MadL	malonate transporter, MadL subunit
TIGR00808	236.3	236.3	madM	254	equivalog	malonate transporter subunit MadM	malonate transporter, MadM subunit
TIGR00809	102.8	102.8	secB	140	equivalog	protein-export chaperone SecB	protein-export chaperone SecB
TIGR00810	30.85	30.85	secG	73	equivalog	preprotein translocase subunit SecG	preprotein translocase, SecG subunit
TIGR00815	380.45	380.45	sulP	565	subfamily	sulfate permease	sulfate permease
TIGR00819	753.55	753.55	NULL	521	subfamily	AbgT family antimetabolite efflux transporter	AbgT transporter family
TIGR00831	279.6	279.6	NULL	525	equivalog	Na+/H+ antiporter	Na+/H+ antiporter
TIGR00832	282.8	282.8	arsB	327	equivalog	arsenical-resistance protein	arsenical-resistance protein
TIGR00833	874.7	874.7	NULL	910	subfamily	MMPL family RND transporter	transport protein
TIGR00835	272.65	272.65	NULL	424	subfamily	amino acid carrier protein	amino acid carrier protein
TIGR00836	343.3	343.3	amt	406	subfamily	ammonium transporter	ammonium transporter
TIGR00838	279.5	279.5	argH	455	equivalog	argininosuccinate lyase	argininosuccinate lyase
TIGR00839	681.2	681.2	aspA	468	equivalog	aspartate ammonia-lyase	aspartate ammonia-lyase
TIGR00840	251.25	251.25	NULL	559	equivalog	sodium/hydrogen exchanger 3	sodium/hydrogen exchanger 3
TIGR00842	407.55	407.55	NULL	452	subfamily	BCCT family transporter	transporter, betaine/carnitine/choline transporter (BCCT) family
TIGR00843	203.4	203.4	benE	395	subfamily	benzoate transporter BenE	benzoate transporter
TIGR00844	1236.05	1236.05	NULL	810	equivalog	sodium/hydrogen antiporter	sodium/hydrogen antiporter
TIGR00845	679.85	679.85	NULL	921	equivalog	sodium/calcium exchanger 1	sodium/calcium exchanger 1
TIGR00847	28.35	28.35	ccoS	51	equivalog	cbb3-type cytochrome oxidase assembly protein CcoS	cytochrome oxidase maturation protein, cbb3-type
TIGR00855	84.4	84.4	rplL	125	equivalog	50S ribosomal protein L7/L12	ribosomal protein bL12
TIGR00856	292.95	292.95	pyrC	341	equivalog	dihydroorotase	dihydroorotase, homodimeric type
TIGR00858	426.45	426.45	bioF	365	equivalog	8-amino-7-oxononanoate synthase	8-amino-7-oxononanoate synthase
TIGR00861	171.25	171.25	NULL	224	subfamily	MIP family channel protein	MIP family channel proteins
TIGR00864	1861.4	1861.4	NULL	2700	subfamily_domain	polycystin cation channel protein	polycystin cation channel protein
TIGR00867	598.45	598.45	NULL	611	subfamily	degenerin	degenerin
TIGR00869	166.65	166.65	NULL	232	subfamily	protein translocase, Sec62 family	protein translocation protein, Sec62 family
TIGR00871	400.6	400.6	zwf	486	equivalog	glucose-6-phosphate dehydrogenase	glucose-6-phosphate dehydrogenase
TIGR00872	297.2	297.2	gnd	299	equivalog	decarboxylating 6-phosphogluconate dehydrogenase	6-phosphogluconate dehydrogenase (decarboxylating)
TIGR00873	426.7	426.7	gnd	467	equivalog	decarboxylating NADP(+)-dependent phosphogluconate dehydrogenase	6-phosphogluconate dehydrogenase (decarboxylating)
TIGR00874	396.2	396.2	tal	317	equivalog	transaldolase	transaldolase
TIGR00875	245.95	245.95	fsa	213	equivalog	fructose-6-phosphate aldolase	fructose-6-phosphate aldolase
TIGR00876	233.75	233.75	tal	350	equivalog	transaldolase	transaldolase
TIGR00877	288	288	purD	425	equivalog_domain	phosphoribosylamine--glycine ligase	phosphoribosylamine--glycine ligase
TIGR00878	236.35	236.35	purM	332	equivalog_domain	phosphoribosylformylglycinamidine cyclo-ligase	phosphoribosylformylglycinamidine cyclo-ligase
TIGR00884	338.75	338.75	guaA	310	equivalog_domain	glutamine-hydrolyzing GMP synthase	GMP synthase (glutamine-hydrolyzing), C-terminal domain
TIGR00885	280.4	280.4	fucP	410	equivalog	L-fucose:H+ symporter permease	L-fucose:H+ symporter permease
TIGR00886	311.7	311.7	NULL	368	subfamily	NarK family nitrate/nitrite MFS transporter	nitrite transporter
TIGR00887	610.3	610.3	NULL	502	equivalog	phosphate:H+ symporter	phosphate:H+ symporter
TIGR00888	172.15	172.15	guaA	188	equivalog_domain	glutamine-hydrolyzing GMP synthase	GMP synthase (glutamine-hydrolyzing), N-terminal domain
TIGR00890	374.85	374.85	NULL	377	subfamily	oxalate/formate antiport family MFS transporter	oxalate/formate antiporter family transporter
TIGR00892	586.1	586.1	NULL	455	subfamily	monocarboxylate transporter	monocarboxylate transporter
TIGR00895	418.55	418.55	NULL	398	subfamily	aromatic acid/H+ symport family MFS transporter	MFS transporter, aromatic acid:H+ symporter (AAHS) family
TIGR00896	406	406	NULL	355	subfamily	CynX/NimT family MFS transporter	cyanate transporter
TIGR00899	522.3	522.3	NULL	375	subfamily	sugar efflux transporter	sugar efflux transporter
TIGR00901	370.8	370.8	NULL	357	subfamily	AmpG family muropeptide MFS transporter	AmpG-like permease
TIGR00902	698.9	698.9	NULL	388	subfamily	3-phenylpropionate MFS transporter	MFS transporter, phenyl propionate permease (PPP) family
TIGR00904	365.75	365.75	NULL	334	subfamily	MreB/Mrl family cell shape determining protein	cell shape determining protein, MreB/Mrl family
TIGR00907	598.3	598.3	NULL	482	subfamily	amino acid permease	amino acid permease
TIGR00908	381.75	381.75	eat	442	equivalog	ethanolamine permease	ethanolamine permease
TIGR00910	673.5	673.5	gadC	511	equivalog	glutamate:gamma-aminobutyrate antiporter	glutamate:gamma-aminobutyrate antiporter
TIGR00913	578.7	578.7	NULL	480	subfamily	amino acid permease	amino acid permease (yeast)
TIGR00914	701.45	701.45	NULL	1051	subfamily	CusA/CzcA family heavy metal efflux RND transporter	heavy metal efflux pump, CzcA family
TIGR00915	940.35	940.35	NULL	1050	subfamily	efflux RND transporter permease subunit	RND transporter, hydrophobe/amphiphile efflux-1 (HAE1) family
TIGR00916	148.6	148.6	NULL	231	subfamily	SecD/SecF family protein translocase subunit	protein-export membrane protein, SecD/SecF family
TIGR00920	778.35	778.35	NULL	887	subfamily	hydroxymethylglutaryl-CoA reductase (NADPH)	3-hydroxy-3-methylglutaryl-coenzyme A reductase
TIGR00922	135.7	135.7	nusG	172	equivalog	transcription termination/antitermination factor NusG	transcription termination/antitermination factor NusG
TIGR00928	326.2	326.2	purB	436	equivalog	adenylosuccinate lyase	adenylosuccinate lyase
TIGR00929	643.1	643.1	NULL	792	subfamily	VirB4 family type IV secretion/conjugal transfer ATPase	type IV secretion/conjugal transfer ATPase, VirB4 family
TIGR00931	370	370	nhaC	454	equivalog	Na+/H+ antiporter NhaC	Na+/H+ antiporter NhaC
TIGR00936	497.6	497.6	ahcY	416	equivalog	adenosylhomocysteinase	adenosylhomocysteinase
TIGR00937	171.7	171.7	chrA	368	subfamily	chromate efflux transporter	chromate efflux transporter
TIGR00938	255.9	255.9	thrB	307	equivalog	homoserine kinase	homoserine kinase
TIGR00945	132.7	132.7	tatC	215	equivalog	twin-arginine translocase subunit TatC	twin arginine-targeting protein translocase TatC
TIGR00947	366.4	366.4	ictB	425	equivalog	putative bicarbonate transporter, IctB family	putative bicarbonate transporter, IctB family
TIGR00952	63.65	63.65	rpsO	86	equivalog	30S ribosomal protein S15	ribosomal protein uS15
TIGR00954	918.9	918.9	NULL	660	subfamily	peroxysomal long chain fatty acyl transporter	peroxysomal long chain fatty acyl transporter
TIGR00955	736.35	736.35	NULL	617	subfamily	pigment precursor permease	pigment precursor permease
TIGR00957	1470	1470	NULL	1522	equivalog	multi drug resistance-associated protein (MRP)	multi drug resistance-associated protein (MRP)
TIGR00959	473.2	473.2	ffh	428	equivalog	signal recognition particle protein	signal recognition particle protein
TIGR00962	484.45	484.45	atpA	503	equivalog	F0F1 ATP synthase subunit alpha	ATP synthase F1, alpha subunit
TIGR00963	800	640	secA	787	equivalog	preprotein translocase subunit SecA	preprotein translocase, SecA subunit
TIGR00964	27.55	27.55	secE	57	equivalog	preprotein translocase subunit SecE	preprotein translocase, SecE subunit
TIGR00965	375.4	375.4	dapD	271	equivalog	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
TIGR00966	164.9	164.9	secF	246	equivalog_domain	protein translocase subunit SecF	protein-export membrane protein SecF
TIGR00967	253.6	253.6	secY	414	equivalog	preprotein translocase subunit SecY	preprotein translocase, SecY subunit
TIGR00968	342.75	342.75	cysA	237	subfamily	sulfate ABC transporter ATP-binding protein	sulfate ABC transporter, ATP-binding protein
TIGR00969	240	240	NULL	272	subfamily	sulfate ABC transporter permease subunit	sulfate ABC transporter, permease protein
TIGR00970	697.4	697.4	leuA	564	equivalog	2-isopropylmalate synthase	2-isopropylmalate synthase
TIGR00971	155.5	155.5	NULL	315	subfamily	sulfate ABC transporter substrate-binding protein	sulfate ABC transporter, sulfate-binding protein
TIGR00972	343.2	343.2	pstB	248	equivalog	phosphate ABC transporter ATP-binding protein	phosphate ABC transporter, ATP-binding protein
TIGR00973	598.7	598.7	leuA	494	equivalog	2-isopropylmalate synthase	2-isopropylmalate synthase
TIGR00974	193.45	193.45	pstA	272	equivalog	phosphate ABC transporter permease PstA	phosphate ABC transporter, permease protein PstA
TIGR00975	205	205	pstS	315	equivalog	phosphate ABC transporter substrate-binding protein PstS	phosphate ABC transporter, phosphate-binding protein PstS
TIGR00976	66.3	66.3	NULL	550	subfamily	CocE/NonD family hydrolase	hydrolase CocE/NonD family protein
TIGR00977	450	450	cimA	526	equivalog	citramalate synthase	citramalate synthase
TIGR00978	301.2	301.2	asd	342	equivalog	aspartate-semialdehyde dehydrogenase	aspartate-semialdehyde dehydrogenase
TIGR00979	664.75	664.75	fumC	458	equivalog	class II fumarate hydratase	fumarate hydratase, class II
TIGR00981	112.95	112.95	rpsL	124	equivalog	30S ribosomal protein S12	ribosomal protein uS12
TIGR00982	140.2	140.2	NULL	139	equivalog	30S ribosomal protein S12	ribosomal protein uS12
TIGR00987	120.25	120.25	ihfA	96	equivalog	integration host factor subunit alpha	integration host factor, alpha subunit
TIGR00988	119.95	119.95	ihfB	94	equivalog	integration host factor subunit beta	integration host factor, beta subunit
TIGR00996	140.5	140.5	NULL	291	paralog	MCE family protein	virulence factor Mce family protein
TIGR00997	165.2	165.2	ispZ	178	equivalog	septation protein IspZ	intracellular septation protein A
TIGR00998	390.8	390.8	NULL	334	subfamily	EmrA/EmrK family multidrug efflux transporter periplasmic adaptor subunit	efflux pump membrane protein
TIGR01000	258.85	258.85	NULL	457	subfamily	bacteriocin secretion accessory protein	bacteriocin secretion accessory protein
TIGR01001	315.4	315.4	metA	301	equivalog	homoserine O-succinyltransferase	homoserine O-succinyltransferase
TIGR01002	245.6	245.6	NULL	313	subfamily	beta-channel forming cytolysin	beta-channel forming cytolysin
TIGR01003	47.9	47.9	NULL	82	subfamily	HPr family phosphocarrier protein	phosphocarrier, HPr family
TIGR01004	130.1	130.1	NULL	128	subfamily	lipoprotein, PulS/OutS family	lipoprotein, PulS/OutS family
TIGR01007	108.05	108.05	NULL	204	subfamily_domain	polysaccharide biosynthesis tyrosine autokinase	capsular exopolysaccharide family
TIGR01008	150.25	150.25	rpsC	195	equivalog	30S ribosomal protein S3	ribosomal protein uS3
TIGR01009	114.5	114.5	rpsC	212	equivalog	30S ribosomal protein S3	ribosomal protein uS3
TIGR01011	76.3	76.3	rpsB	225	equivalog	30S ribosomal protein S2	ribosomal protein uS2
TIGR01012	211.5	211.5	rpsB	196	equivalog	30S ribosomal protein S2	ribosomal protein uS2
TIGR01015	510.75	510.75	hmgA	429	equivalog	homogentisate 1,2-dioxygenase	homogentisate 1,2-dioxygenase
TIGR01016	375.55	375.55	sucC	386	subfamily	succinate-CoA ligase subunit beta	succinate-CoA ligase, beta subunit
TIGR01017	177.2	177.2	rpsD	200	equivalog	30S ribosomal protein S4	ribosomal protein uS4
TIGR01018	82.25	82.25	rpsD	162	equivalog	30S ribosomal protein S4	ribosomal protein uS4
TIGR01019	353.2	353.2	sucD	286	subfamily	succinate-CoA ligase subunit alpha	succinate-CoA ligase, alpha subunit
TIGR01020	181.65	181.65	rpsE	212	equivalog	30S ribosomal protein S5	ribosomal protein uS5
TIGR01021	164.05	164.05	rpsE	156	equivalog	30S ribosomal protein S5	ribosomal protein uS5
TIGR01022	22.7	22.7	rpmJ	37	equivalog	50S ribosomal protein L36	ribosomal protein bL36
TIGR01023	23.95	23.95	rpmG	56	equivalog	50S ribosomal protein L33	ribosomal protein bL33
TIGR01024	90.7	90.7	rplS	114	equivalog	50S ribosomal protein L19	ribosomal protein bL19
TIGR01025	139	139	rpsS	135	equivalog	30S ribosomal protein S19	ribosomal protein uS19
TIGR01026	379.5	379.5	NULL	440	subfamily	FliI/YscN family ATPase	ATPase, FliI/YscN family
TIGR01027	186	186	proB	363	equivalog_domain	glutamate 5-kinase	glutamate 5-kinase
TIGR01028	200	200	rpsG	186	equivalog	30S ribosomal protein S7	ribosomal protein uS7
TIGR01029	135.85	135.85	rpsG	154	equivalog	30S ribosomal protein S7	ribosomal protein uS7
TIGR01030	37.65	37.65	rpmH	44	equivalog	50S ribosomal protein L34	ribosomal protein bL34
TIGR01031	22.6	22.6	rpmF	56	equivalog	50S ribosomal protein L32	ribosomal protein bL32
TIGR01032	65.65	65.65	rplT	114	equivalog	50S ribosomal protein L20	ribosomal protein bL20
TIGR01033	208.75	208.75	NULL	238	subfamily	YebC/PmpR family DNA-binding transcriptional regulator	DNA-binding regulatory protein, YebC/PmpR family
TIGR01034	309.4	309.4	metK	377	equivalog	methionine adenosyltransferase	methionine adenosyltransferase
TIGR01035	209.55	209.55	hemA	416	equivalog	glutamyl-tRNA reductase	glutamyl-tRNA reductase
TIGR01036	200	200	pyrD	356	equivalog	dihydroorotate dehydrogenase (quinone)	dihydroorotate dehydrogenase (fumarate)
TIGR01038	79.85	79.85	rplV	148	equivalog	50S ribosomal protein L22	ribosomal protein uL22
TIGR01039	462.85	462.85	atpD	462	equivalog	F0F1 ATP synthase subunit beta	ATP synthase F1, beta subunit
TIGR01040	804.65	804.65	NULL	467	equivalog	V-type ATPase subunit B	V-type ATPase, B subunit
TIGR01041	844.65	844.65	NULL	458	equivalog	ATP synthase subunit B	ATP synthase archaeal, B subunit
TIGR01042	779.9	779.9	NULL	591	equivalog	V-type ATPase subunit A	V-type ATPase, A subunit
TIGR01043	972.15	972.15	NULL	580	equivalog	ATP synthase subunit A	ATP synthase archaeal, A subunit
TIGR01044	73.65	73.65	rplV	103	equivalog	50S ribosomal protein L22	ribosomal protein uL22
TIGR01045	30	30	NULL	48	domain	palindromic element RPE1 domain-containing protein	rickettsial palindromic element RPE1 domain
TIGR01046	96.25	96.25	rpsJ	99	equivalog	30S ribosomal protein S10	ribosomal protein uS10
TIGR01047	409.05	409.05	nspC	380	equivalog	carboxynorspermidine decarboxylase	carboxynorspermidine decarboxylase
TIGR01048	297.9	297.9	lysA	417	equivalog	diaminopimelate decarboxylase	diaminopimelate decarboxylase
TIGR01049	72.75	72.75	rpsJ	99	equivalog	30S ribosomal protein S10	ribosomal protein uS10
TIGR01050	89.35	89.35	rpsS	92	equivalog	30S ribosomal protein S19	ribosomal protein uS19
TIGR01051	456.4	456.4	topA	632	equivalog	type I DNA topoisomerase	DNA topoisomerase I
TIGR01052	380.7	380.7	top6B	488	equivalog	DNA topoisomerase VI subunit B	DNA topoisomerase VI, B subunit
TIGR01054	471.7	471.7	rgy	1172	equivalog	reverse gyrase	reverse gyrase
TIGR01055	723.35	723.35	parE	625	equivalog	DNA topoisomerase IV subunit B	DNA topoisomerase IV, B subunit
TIGR01056	515.75	515.75	topB	706	subfamily	DNA topoisomerase III	DNA topoisomerase III
TIGR01057	458	458	topA	618	equivalog	DNA topoisomerase I	DNA topoisomerase I
TIGR01058	899.95	899.95	parE	637	equivalog	DNA topoisomerase IV subunit B	DNA topoisomerase IV, B subunit
TIGR01059	882.4	882.4	gyrB	639	equivalog	DNA topoisomerase (ATP-hydrolyzing) subunit B	DNA gyrase, B subunit
TIGR01060	443.85	443.85	eno	425	equivalog	phosphopyruvate hydratase	phosphopyruvate hydratase
TIGR01061	813.25	813.25	parC	737	equivalog	DNA topoisomerase IV subunit A	DNA topoisomerase IV, A subunit
TIGR01062	628.9	628.9	parC	735	equivalog	DNA topoisomerase IV subunit A	DNA topoisomerase IV, A subunit
TIGR01063	877	877	gyrA	800	equivalog	DNA topoisomerase (ATP-hydrolyzing) subunit A	DNA gyrase, A subunit
TIGR01064	306.4	306.4	pyk	476	equivalog	pyruvate kinase	pyruvate kinase
TIGR01066	93.05	93.05	rplM	141	equivalog	50S ribosomal protein L13	ribosomal protein uL13
TIGR01067	111.1	111.1	rplN	122	equivalog	50S ribosomal protein L14	ribosomal protein uL14
TIGR01068	96.8	96.8	trxA	101	equivalog	thioredoxin	thioredoxin
TIGR01069	557.35	557.35	NULL	771	subfamily	endonuclease MutS2	MutS2 family protein
TIGR01070	641.7	641.7	mutS	840	equivalog	DNA mismatch repair protein MutS	DNA mismatch repair protein MutS
TIGR01071	77.95	77.95	rplO	144	equivalog	50S ribosomal protein L15	ribosomal protein uL15
TIGR01072	392.7	392.7	murA	416	equivalog	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
TIGR01073	911.2	911.2	pcrA	725	equivalog	DNA helicase PcrA	ATP-dependent DNA helicase PcrA
TIGR01074	951.45	951.45	rep	668	equivalog	DNA helicase Rep	ATP-dependent DNA helicase Rep
TIGR01075	1144.45	1144.45	uvrD	715	equivalog	DNA helicase II	DNA helicase II
TIGR01076	39.35	39.35	NULL	136	subfamily	sortase	sortase
TIGR01077	98.9	98.9	rplM	141	equivalog	50S ribosomal protein L13	ribosomal protein uL13
TIGR01078	489.1	489.1	arcA	408	equivalog	arginine deiminase	arginine deiminase
TIGR01079	53.7	53.7	rplX	104	equivalog	50S ribosomal protein L24	ribosomal protein uL24
TIGR01080	47.65	47.65	rplX	116	equivalog	50S ribosomal protein L24	ribosomal protein uL24
TIGR01081	388.7	388.7	mpl	448	equivalog	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase
TIGR01082	335.1	335.1	murC	449	equivalog	UDP-N-acetylmuramate--L-alanine ligase	UDP-N-acetylmuramate--L-alanine ligase
TIGR01083	211.7	211.7	nth	192	equivalog	endonuclease III	endonuclease III
